Timestamp,Temp,IAQ,Volume,Hum,VOC,Arbeitsplatz_besetzt
"31.7.2025, 12:01:06",24.15,83.72,47.96,42.27,1.07,0
"31.7.2025, 12:01:10",24.18,83.75,47.89,42.17,1.07,0
"31.7.2025, 12:01:14",24.19,83.73,48.05,42.15,1.07,0
"31.7.2025, 12:01:18",24.21,83.67,48.06,42.07,1.07,0
"31.7.2025, 12:01:22",24.23,83.67,48.17,42.02,1.07,0
"31.7.2025, 12:01:26",24.26,83.66,48.02,41.93,1.07,0
"31.7.2025, 12:01:30",24.27,83.65,48.02,41.87,1.07,0
"31.7.2025, 12:01:34",24.28,83.61,48.02,41.84,1.07,0
"31.7.2025, 12:01:38",24.3,83.14,48.06,41.75,1.06,0
"31.7.2025, 12:01:42",24.31,83.38,47.93,41.72,1.07,0
"31.7.2025, 12:01:46",24.32,83.07,47.79,41.66,1.06,0
"31.7.2025, 12:01:50",24.35,82.57,47.88,41.6,1.05,0
"31.7.2025, 12:01:54",24.35,83.05,47.88,41.58,1.06,0
"31.7.2025, 12:01:58",24.36,82.6,47.93,41.56,1.05,0
"31.7.2025, 12:02:02",24.38,82.76,47.9,41.48,1.05,0
"31.7.2025, 12:02:06",24.39,82.56,47.41,41.47,1.05,0
"31.7.2025, 12:02:10",24.39,82.82,47.16,41.45,1.05,0
"31.7.2025, 12:02:14",24.42,82.49,47.2,41.39,1.04,0
"31.7.2025, 12:02:18",24.42,82.15,47.24,41.38,1.04,0
"31.7.2025, 12:02:22",24.42,82,47.27,41.39,1.03,0
"31.7.2025, 12:02:26",24.45,82.64,47.26,41.31,1.05,0
"31.7.2025, 12:02:30",24.45,81.95,47.19,41.29,1.03,0
"31.7.2025, 12:02:34",24.46,81.48,47.2,41.25,1.02,0
"31.7.2025, 12:02:38",24.47,82.01,47.15,41.23,1.03,0
"31.7.2025, 12:02:42",24.48,82.16,47.17,41.22,1.04,0
"31.7.2025, 12:02:46",24.5,82.01,47.23,41.18,1.03,0
"31.7.2025, 12:02:50",24.5,82.25,47.2,41.19,1.04,0
"31.7.2025, 12:02:54",24.5,82.35,47.14,41.14,1.04,0
"31.7.2025, 12:02:58",24.52,82.38,47.23,41.09,1.04,0
"31.7.2025, 12:03:02",24.52,81.99,47.18,41.09,1.03,0
"31.7.2025, 12:03:06",24.52,82.67,47.19,41.08,1.05,0
"31.7.2025, 12:03:10",24.54,82.77,47.2,41.02,1.05,0
"31.7.2025, 12:03:14",24.54,82.12,47,41.03,1.04,0
"31.7.2025, 12:03:18",24.54,82.64,46.97,41.01,1.05,0
"31.7.2025, 12:03:22",24.57,83.25,46.82,40.96,1.06,0
"31.7.2025, 12:03:26",24.57,82.89,46.87,40.94,1.05,0
"31.7.2025, 12:03:30",24.57,83.03,46.84,40.96,1.06,0
"31.7.2025, 12:03:34",24.58,82.88,46.76,40.94,1.05,0
"31.7.2025, 12:03:38",24.59,82.79,46.68,40.93,1.05,0
"31.7.2025, 12:03:42",24.6,82.82,46.62,40.89,1.05,0
"31.7.2025, 12:03:46",24.61,83.25,46.52,40.88,1.06,0
"31.7.2025, 12:03:50",24.61,83.37,46.44,40.88,1.07,0
"31.7.2025, 12:03:54",24.62,82.91,46.42,40.88,1.05,0
"31.7.2025, 12:03:58",24.63,83.24,46.45,40.89,1.06,0
"31.7.2025, 12:04:02",24.62,83.37,46.51,40.87,1.07,0
"31.7.2025, 12:04:06",24.63,83,46.55,40.83,1.06,0
"31.7.2025, 12:04:10",24.64,83.8,46.6,40.84,1.08,0
"31.7.2025, 12:04:14",24.65,83.88,46.63,40.84,1.08,0
"31.7.2025, 12:04:18",24.65,83.95,46.69,40.79,1.08,0
"31.7.2025, 12:04:22",24.67,84.09,46.8,40.78,1.08,0
"31.7.2025, 12:04:26",24.67,84.25,46.85,40.74,1.09,0
"31.7.2025, 12:04:30",24.67,84.72,46.93,40.77,1.1,0
"31.7.2025, 12:04:34",24.68,84.82,47.03,40.74,1.1,0
"31.7.2025, 12:04:38",24.68,84.04,47.14,40.74,1.08,0
"31.7.2025, 12:04:42",24.69,83.71,47.2,40.72,1.07,0
"31.7.2025, 12:04:46",24.7,83.21,47.31,40.7,1.06,0
"31.7.2025, 12:04:50",24.7,83.22,47.43,40.68,1.06,0
"31.7.2025, 12:04:54",24.7,83.84,47.47,40.69,1.08,0
"31.7.2025, 12:04:58",24.71,83.76,47.54,40.69,1.07,0
"31.7.2025, 12:05:02",24.71,83.29,47.62,40.65,1.06,0
"31.7.2025, 12:05:06",24.72,83.19,47.65,40.66,1.06,0
"31.7.2025, 12:05:10",24.73,83.5,47.73,40.65,1.07,0
