Timestamp,Temp,IAQ,Volume,Hum,VOC,Arbeitsplatz_besetzt,Fenster_offen,Regen
"31.7.2025, 12:33:04",23.49,79.36,58.86,42.74,0.97,1,0,0
"31.7.2025, 12:33:08",23.48,79.51,58.84,42.76,0.98,1,0,0
"31.7.2025, 12:33:12",23.5,79.53,58.83,42.73,0.98,1,0,0
"31.7.2025, 12:33:36",23.52,78.34,58.91,42.86,0.95,1,1,1
"31.7.2025, 12:33:40",23.51,78.6,58.69,42.91,0.96,1,1,1
"31.7.2025, 12:33:44",23.51,78.31,58.4,42.94,0.95,1,1,1
"31.7.2025, 12:33:48",23.51,78.45,58.18,42.92,0.95,1,1,1
"31.7.2025, 12:33:52",23.49,78.63,57.92,42.95,0.96,1,1,1
"31.7.2025, 12:33:56",23.49,78.96,57.65,42.95,0.96,1,1,1
"31.7.2025, 12:34:00",23.5,78.78,57.31,42.93,0.96,1,1,1
"31.7.2025, 12:34:04",23.48,78.32,57.02,42.97,0.95,1,1,1
"31.7.2025, 12:34:08",23.48,78.6,56.69,43.03,0.96,1,1,1
"31.7.2025, 12:34:12",23.47,78.32,56.54,43.02,0.95,1,1,1
"31.7.2025, 12:34:16",23.47,78.6,56.47,43.02,0.96,1,1,1
"31.7.2025, 12:34:20",23.46,78.87,56.14,43.08,0.96,1,1,1
"31.7.2025, 12:34:24",23.46,79.26,55.88,43.12,0.97,1,1,1
"31.7.2025, 12:34:28",23.46,78.86,55.49,43.12,0.96,1,1,1
"31.7.2025, 12:34:32",23.45,79.22,55.2,43.16,0.97,1,1,1
"31.7.2025, 12:34:36",23.44,79.52,54.89,43.16,0.98,1,1,1
"31.7.2025, 12:34:40",23.43,79.25,54.57,43.17,0.97,1,1,1
"31.7.2025, 12:34:44",23.43,78.96,54.52,43.25,0.96,1,1,1
"31.7.2025, 12:34:48",23.42,79.05,55.19,43.29,0.97,1,1,1
"31.7.2025, 12:34:52",23.32,78.75,55.83,43.78,0.96,1,1,1
"31.7.2025, 12:34:56",23.11,76.33,56.67,45.78,0.91,1,1,1
"31.7.2025, 12:35:00",22.94,74.61,57.21,46.71,0.87,1,1,1
"31.7.2025, 12:35:04",22.85,73.13,57.64,47.35,0.84,1,1,1
"31.7.2025, 12:35:08",22.85,71.11,57.93,47.65,0.81,1,1,1
"31.7.2025, 12:35:12",22.78,70.65,58.47,47.75,0.8,1,1,1
"31.7.2025, 12:35:16",22.58,69.6,58.54,48.36,0.78,1,1,1
"31.7.2025, 12:35:20",22.51,69.1,58.87,48.6,0.77,1,1,1
"31.7.2025, 12:35:24",22.38,69,58.95,48.76,0.77,1,1,1
"31.7.2025, 12:35:28",22.34,69.33,59.39,48.71,0.78,1,1,1
"31.7.2025, 12:35:32",22.14,68.72,59.98,49.12,0.76,1,1,1
"31.7.2025, 12:35:36",21.93,67.07,60.38,49.78,0.74,1,1,1
"31.7.2025, 12:35:40",21.93,66.16,60.92,49.75,0.72,1,1,1
"31.7.2025, 12:35:44",21.74,65.61,61.62,50.1,0.71,1,1,1
"31.7.2025, 12:35:48",21.63,65.55,61.92,50.53,0.71,1,1,1
"31.7.2025, 12:35:52",21.59,65.6,62.57,50.64,0.71,1,1,1
"31.7.2025, 12:35:56",21.34,65.28,63.33,51.04,0.71,1,1,1
"31.7.2025, 12:36:00",21.31,66.34,63.51,51.33,0.72,1,1,1
"31.7.2025, 12:36:04",21.25,67,63.49,50.97,0.74,1,1,1
"31.7.2025, 12:36:08",21.1,67.34,63.45,49.97,0.74,1,1,1
"31.7.2025, 12:36:12",21.02,68.3,63.36,49.61,0.76,1,1,1
"31.7.2025, 12:36:16",20.9,68.77,63.13,49.16,0.77,1,1,1
"31.7.2025, 12:36:20",20.83,65.81,63.07,49,0.72,0,1,1
"31.7.2025, 12:36:52",20.4,68.76,60.56,48.78,0.77,0,1,1
"31.7.2025, 12:36:56",20.36,69.24,59.51,48.84,0.77,0,1,1
"31.7.2025, 12:37:00",20.34,69.46,58.47,48.83,0.78,0,1,1
"31.7.2025, 12:37:04",20.29,70.26,57.77,48.88,0.79,0,1,1
"31.7.2025, 12:37:08",20.27,70.78,57,48.87,0.8,0,1,1
